nodo,grado,in_degree,out_degree,centralidad_grado,grado_ponderado,volumen_telemetria,betweenness_dirigida,betweenness_no_dirigida,load_centrality,closeness,rol
119,49,0,49,0.7101449275362319,120,120,0.0,0.03774036949149268,0.0375300659205342,0.7666666666666667,Subestación (fuente)
103,47,0,47,0.6811594202898551,114,114,0.0,0.03456373029583566,0.03444014997836506,0.7340425531914894,Subestación (fuente)
105,46,0,46,0.6666666666666666,112,112,0.0,0.03334111498638863,0.03326041286126012,0.71875,Subestación (fuente)
112,46,0,46,0.6666666666666666,108,108,0.0,0.032847420595498264,0.03276099453076441,0.71875,Subestación (fuente)
110,45,0,45,0.6521739130434783,87,87,0.0,0.030797373288454506,0.030722822274393855,0.7040816326530612,Subestación (fuente)
114,44,0,44,0.6376811594202899,103,103,0.0,0.030580503369545008,0.030585922166473867,0.69,Subestación (fuente)
101,44,0,44,0.6376811594202899,89,89,0.0,0.030241711742387274,0.030226964492062424,0.69,Subestación (fuente)
115,44,0,44,0.6376811594202899,101,101,0.0,0.029618277427874658,0.029591530221428797,0.69,Subestación (fuente)
104,44,0,44,0.6376811594202899,101,101,0.0,0.029217416891559368,0.029177234022058487,0.69,Subestación (fuente)
118,43,0,43,0.6231884057971014,89,89,0.0,0.029082617206541247,0.029117585780934332,0.6764705882352942,Subestación (fuente)
106,43,0,43,0.6231884057971014,96,96,0.0,0.02905087166469288,0.029092156535083617,0.6764705882352942,Subestación (fuente)
111,43,0,43,0.6231884057971014,106,106,0.0,0.02842476662124989,0.02842516138050146,0.6764705882352942,Subestación (fuente)
113,43,0,43,0.6231884057971014,101,101,0.0,0.02796065118693306,0.02795548339832999,0.6764705882352942,Subestación (fuente)
116,42,0,42,0.6086956521739131,108,108,0.0,0.027441814567392572,0.027505291834408224,0.6634615384615384,Subestación (fuente)
108,41,0,41,0.5942028985507246,97,97,0.0,0.025989857760857674,0.02607348780636753,0.6509433962264151,Subestación (fuente)
117,41,0,41,0.5942028985507246,94,94,0.0,0.02570361418475711,0.02576970464329615,0.6509433962264151,Subestación (fuente)
107,41,0,41,0.5942028985507246,87,87,0.0,0.02547562761943683,0.025534205653170494,0.6509433962264151,Subestación (fuente)
109,40,0,40,0.5797101449275363,95,95,0.0,0.024775169111378285,0.024889955107816445,0.6388888888888888,Subestación (fuente)
100,40,0,40,0.5797101449275363,106,106,0.0,0.023479642785693228,0.023532374190429167,0.6388888888888888,Subestación (fuente)
102,39,0,39,0.5652173913043478,86,86,0.0,0.023377594129567456,0.02351864212985748,0.6272727272727273,Subestación (fuente)
202,20,20,0,0.2898550724637681,41,41,0.0,0.003755849901002291,0.0036532511154454103,0.5847457627118644,Nodo de carga (destino)
240,19,19,0,0.2753623188405797,41,41,0.0,0.003434422511725096,0.003381669254634065,0.575,Nodo de carga (destino)
222,19,19,0,0.2753623188405797,39,39,0.0,0.003422635690596516,0.003367831744203579,0.575,Nodo de carga (destino)
211,19,19,0,0.2753623188405797,49,49,0.0,0.0034187754441391974,0.0033656740971967844,0.575,Nodo de carga (destino)
238,19,19,0,0.2753623188405797,47,47,0.0,0.003386843587828154,0.003331908108746394,0.575,Nodo de carga (destino)
218,19,19,0,0.2753623188405797,46,46,0.0,0.0033722672893658125,0.0033157753780578276,0.575,Nodo de carga (destino)
209,19,19,0,0.2753623188405797,49,49,0.0,0.0033575210598837386,0.0032988936152544158,0.575,Nodo de carga (destino)
225,19,19,0,0.2753623188405797,44,44,0.0,0.003349719690844512,0.00328724303058409,0.575,Nodo de carga (destino)
227,19,19,0,0.2753623188405797,39,39,0.0,0.0033231481803178884,0.00326208563655628,0.575,Nodo de carga (destino)
245,19,19,0,0.2753623188405797,41,41,0.0,0.00330468868477594,0.0032421382508581826,0.575,Nodo de carga (destino)
226,19,19,0,0.2753623188405797,45,45,0.0,0.00330468868477594,0.0032421382508581826,0.575,Nodo de carga (destino)
242,18,18,0,0.2608695652173913,42,42,0.0,0.003059663388945414,0.0030405181755882743,0.5655737704918032,Nodo de carga (destino)
246,18,18,0,0.2608695652173913,38,38,0.0,0.0030422334072994963,0.003027737277722967,0.5655737704918032,Nodo de carga (destino)
221,18,18,0,0.2608695652173913,42,42,0.0,0.0030266617569167033,0.0030127126580097993,0.5655737704918032,Nodo de carga (destino)
233,18,18,0,0.2608695652173913,54,54,0.0,0.003019018269346999,0.003007108893434163,0.5655737704918032,Nodo de carga (destino)
207,18,18,0,0.2608695652173913,48,48,0.0,0.0029927703164419703,0.0029762213788207805,0.5655737704918032,Nodo de carga (destino)
200,18,18,0,0.2608695652173913,29,29,0.0,0.0029919301181678703,0.002975581005883974,0.5655737704918032,Nodo de carga (destino)
212,18,18,0,0.2608695652173913,41,41,0.0,0.0029828852192103827,0.0029631228751067456,0.5655737704918032,Nodo de carga (destino)
205,18,18,0,0.2608695652173913,32,32,0.0,0.0029810961619063463,0.0029621015910593425,0.5655737704918032,Nodo de carga (destino)
244,18,18,0,0.2608695652173913,47,47,0.0,0.0029701263011207802,0.002947822405241527,0.5655737704918032,Nodo de carga (destino)
210,18,18,0,0.2608695652173913,42,42,0.0,0.0029675937963391024,0.0029461453343653725,0.5655737704918032,Nodo de carga (destino)
239,18,18,0,0.2608695652173913,46,46,0.0,0.002959102876510138,0.0029389165994409897,0.5655737704918032,Nodo de carga (destino)
220,18,18,0,0.2608695652173913,47,47,0.0,0.002956681743676954,0.002930859894834912,0.5655737704918032,Nodo de carga (destino)
204,18,18,0,0.2608695652173913,35,35,0.0,0.0029548029538941285,0.0029311917586052304,0.5655737704918032,Nodo de carga (destino)
230,18,18,0,0.2608695652173913,41,41,0.0,0.0029456956657192518,0.0029237366536279214,0.5655737704918032,Nodo de carga (destino)
228,18,18,0,0.2608695652173913,46,46,0.0,0.002933877734106207,0.002909906330094396,0.5655737704918032,Nodo de carga (destino)
219,17,17,0,0.2463768115942029,38,38,0.0,0.0026920643960964287,0.0027123217868854255,0.5564516129032258,Nodo de carga (destino)
236,17,17,0,0.2463768115942029,36,36,0.0,0.0026913792829737324,0.0027046264500208577,0.5564516129032258,Nodo de carga (destino)
206,17,17,0,0.2463768115942029,46,46,0.0,0.0026796718418081534,0.002702896424307323,0.5564516129032258,Nodo de carga (destino)
237,17,17,0,0.2463768115942029,45,45,0.0,0.0026687956136479426,0.002676615445845212,0.5564516129032258,Nodo de carga (destino)
243,17,17,0,0.2463768115942029,48,48,0.0,0.0026611966339782018,0.002677476550989693,0.5564516129032258,Nodo de carga (destino)
217,17,17,0,0.2463768115942029,34,34,0.0,0.0026346856475362697,0.0026535182292073524,0.5564516129032258,Nodo de carga (destino)
229,17,17,0,0.2463768115942029,34,34,0.0,0.0026334197180161727,0.002645181057848671,0.5564516129032258,Nodo de carga (destino)
216,17,17,0,0.2463768115942029,39,39,0.0,0.0025909355738440807,0.0025976236004744036,0.5564516129032258,Nodo de carga (destino)
213,16,16,0,0.2318840579710145,30,30,0.0,0.0024192129914916483,0.002481220323944191,0.5476190476190477,Nodo de carga (destino)
231,16,16,0,0.2318840579710145,41,41,0.0,0.002356523131311344,0.002410834360015052,0.5476190476190477,Nodo de carga (destino)
241,16,16,0,0.2318840579710145,35,35,0.0,0.0023438030682788997,0.0023991812843994903,0.5476190476190477,Nodo de carga (destino)
234,16,16,0,0.2318840579710145,32,32,0.0,0.0023381833019835326,0.002382964306657622,0.5476190476190477,Nodo de carga (destino)
215,16,16,0,0.2318840579710145,41,41,0.0,0.002312768528639884,0.002357569281771398,0.5476190476190477,Nodo de carga (destino)
201,16,16,0,0.2318840579710145,35,35,0.0,0.0022805414076055726,0.002317484910417768,0.5476190476190477,Nodo de carga (destino)
232,16,16,0,0.2318840579710145,41,41,0.0,0.0022801774003295807,0.002317131454650848,0.5476190476190477,Nodo de carga (destino)
223,16,16,0,0.2318840579710145,40,40,0.0,0.0022724979936451237,0.0023051718977916942,0.5476190476190477,Nodo de carga (destino)
224,16,16,0,0.2318840579710145,29,29,0.0,0.0022606152701890644,0.0022945570770314502,0.5476190476190477,Nodo de carga (destino)
214,16,16,0,0.2318840579710145,27,27,0.0,0.002254491476950263,0.0022922488802538535,0.5476190476190477,Nodo de carga (destino)
208,16,16,0,0.2318840579710145,34,34,0.0,0.002248595115931327,0.0022823362687426334,0.5476190476190477,Nodo de carga (destino)
203,15,15,0,0.21739130434782608,34,34,0.0,0.0021136256733754978,0.0021976367788929356,0.5390625,Nodo de carga (destino)
248,15,15,0,0.21739130434782608,38,38,0.0,0.0020525508672157443,0.0021193836710178757,0.5390625,Nodo de carga (destino)
249,15,15,0,0.21739130434782608,31,31,0.0,0.0020357729281543467,0.002101249163999588,0.5390625,Nodo de carga (destino)
235,15,15,0,0.21739130434782608,37,37,0.0,0.0020051581352471997,0.0020621360657195444,0.5390625,Nodo de carga (destino)
247,13,13,0,0.18840579710144928,44,44,0.0,0.0014923079061941002,0.001600017754184422,0.5227272727272727,Nodo de carga (destino)
